stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
ATSVIL-E,180300,"ECOLE ACCUEIL VILLEVEQUE",,47.559509,-0.424173,,,0,,,0
ATSVILLE,329831,"ECOLE ACCUEIL VILLEVEQUE",,47.559478,-0.424182,,,0,,,0
AUBEPI-E,9385,"AUBEPINE",,47.461562,-0.495899,,,0,,,1
AUBEPINE,8536,"AUBEPINE",,47.461705,-0.495984,,,0,,,1
AUBERD-E,830731,"AUBERDERIE",,47.537906,-0.478534,,,0,,,0
AUBERDER,747618,"AUBERDERIE",,47.537885,-0.478691,,,0,,,0
AUBRIA-E,16914,"AUBRIAIS",,47.515750,-0.667693,,,0,,,0
AUBRIAIS,18000,"AUBRIAIS",,47.515797,-0.667935,,,0,,,0
AUBRY,7225,"AUBRY",,47.440983,-0.552069,,,0,,,0
AUBRY-E,48579,"AUBRY",,47.441839,-0.552229,,,0,,,0
AULNAI-E,172702,"AULNAIES",,47.586835,-0.439987,,,0,,,0
AULNAIES,193602,"AULNAIES",,47.586747,-0.439937,,,0,,,0
AULNERIE,937759,"AULNERIE",,47.587453,-0.492889,,,0,,,0
AURI-A5B,173687,"AURIOL",,47.491289,-0.564935,,,0,,,1
AUTHIO-E,24408,"AUTHION",,47.431570,-0.528831,,,0,,,1
AUTHION,22482,"AUTHION",,47.431515,-0.528398,,,0,,,1
AUTRIC-E,30185,"AUTRICHE",,47.522911,-0.609403,,,0,,,1
AUTRICH,18326,"AUTRICHE",,47.522984,-0.609961,,,0,,,1
AUVERG-E,3123,"AUVERGNE",,47.490197,-0.530055,,,0,,,1
AUVERGNE,2306,"AUVERGNE",,47.489505,-0.530824,,,0,,,1
AVALOUP,351192,"AVALOUP",,47.456890,-0.437023,,,0,,,0
AVENEU-E,3623,"AVENUE DE L'EUROPE",,47.528212,-0.594799,,,0,,,1
AVENEURO,31525,"AVENUE DE L'EUROPE",,47.527947,-0.595780,,,0,,,1
BACHEM-E,157642,"BAS CHEMIN",,47.424905,-0.384269,,,0,,,0
BACHOUAS,294727,"BACHOUASNE",,47.467853,-0.433422,,,0,,,0
BACHOU-E,602037,"BACHOUASNE",,47.467774,-0.433359,,,0,,,1
BAHONN-E,1159,"BAHONNEAU",,47.453429,-0.482950,,,0,,,0
BAHONNEA,26142,"BAHONNEAU",,47.453189,-0.483239,,,0,,,0
BALANDE,29121,"BASSE LANDE",,47.505124,-0.594820,,,0,,,1
BALAND-E,30198,"BASSE LANDE",,47.505460,-0.595349,,,0,,,1
BALLOUR,23505,"BALLOUR",,47.483243,-0.562464,,,0,,,0
BANCHA-E,25865,"BANCHAIS",,47.485523,-0.511796,,,0,,,1
BANCHAIS,25147,"BANCHAIS",,47.485298,-0.512160,,,0,,,1
BANCST-E,2573,"BANCHAIS",,47.485819,-0.512468,,,0,,,0
BANCSTMA,20610,"BANCHAIS",,47.486004,-0.512375,,,0,,,0
BARBOT-E,1092,"BARBOTTERIE",,47.400873,-0.525167,,,0,,,1
BARBOTER,24521,"BARBOTTERIE",,47.400469,-0.524769,,,0,,,1
